Field,Sub Field,Category,Resolution,Is_Signed,Name,Short Name,Units
worm.posture.coils.frames,time,Posture,0.1,1,Coil Time,Time,seconds
worm.posture.coils.frames,interTime,Posture,5,1,Inter Coil Time,Inter Time,seconds
worm.posture.coils.frames,interDistance,Posture,100,0,Inter Coil Distance,Inter Distance,microns
worm.posture.coils.frequency,,Posture,0.001,0,Coils Frequency,Frequency,Hz
worm.posture.coils.timeRatio,,Posture,0.001,0,Coils Time Ratio,Time Ratio,no units
,,,,,,,
worm.locomotion.turns.omegas.frames,time,Locomotion,0.1,1,Omega Turn Time (+/- = D/V Inside),Time,seconds
worm.locomotion.turns.omegas.frames,interTime,Locomotion,5,1,Inter Omega Time (+/- = Previous D/V),Inter Time,seconds
worm.locomotion.turns.omegas.frames,interDistance,Locomotion,100,1,Inter Omega Distance (+/- = Previous D/V),Inter Distance,microns
worm.locomotion.turns.omegas.frequency,,Locomotion,0.001,0,Omega Turns Frequency,Frequency,Hz
worm.locomotion.turns.omegas.timeRatio,,Locomotion,0.001,0,Omega Turns Time Ratio,Time Ratio,no units
,,,,,,,
worm.locomotion.turns.upsilons.frames,time,Locomotion,0.1,1,Upsilon Turn Time (+/- = D/V Inside),Time,seconds
worm.locomotion.turns.upsilons.frames,interTime,Locomotion,5,1,Inter Upsilon Time (+/- = Previous D/V),Inter Time,seconds
worm.locomotion.turns.upsilons.frames,interDistance,Locomotion,100,1,Inter Upsilon Distance (+/- = Previous D/V),Inter Distance,microns
worm.locomotion.turns.upsilons.frequency,,Locomotion,0.001,0,Upsilon Turns Frequency,Frequency,Hz
worm.locomotion.turns.upsilons.timeRatio,,Locomotion,0.001,0,Upsilon Turns Time Ratio,Time Ratio,no units
,,,,,,,
worm.locomotion.motion.forward.frames,time,Locomotion,0.5,0,Forward Time,Time,seconds
worm.locomotion.motion.forward.frames,distance,Locomotion,10,0,Forward Distance,Distance,microns
worm.locomotion.motion.forward.frames,interTime,Locomotion,5,0,Inter Forward Time,Inter Time,seconds
worm.locomotion.motion.forward.frames,interDistance,Locomotion,100,0,Inter Forward Distance,Inter Distance,microns
worm.locomotion.motion.forward.frequency,,Locomotion,0.001,0,Forward Motion Frequency,Frequency,Hz
worm.locomotion.motion.forward.ratio,time,Locomotion,0.001,0,Forward Motion Time Ratio,Time Ratio,no units
worm.locomotion.motion.forward.ratio,distance,Locomotion,0.001,0,Forward Motion Distance Ratio,Distance Ratio,no units
,,,,,,,
worm.locomotion.motion.paused.frames,time,Locomotion,0.5,0,Paused Time,Time,seconds
worm.locomotion.motion.paused.frames,distance,Locomotion,10,0,Paused Distance,Distance,microns
worm.locomotion.motion.paused.frames,interTime,Locomotion,5,0,Inter Paused Time,Inter Time,seconds
worm.locomotion.motion.paused.frames,interDistance,Locomotion,100,0,Inter Paused Distance,Inter Distance,microns
worm.locomotion.motion.paused.frequency,,Locomotion,0.001,0,Paused Motion Frequency,Frequency,Hz
worm.locomotion.motion.paused.ratio,time,Locomotion,0.001,0,Paused Motion Time Ratio,Time Ratio,no units
worm.locomotion.motion.paused.ratio,distance,Locomotion,0.001,0,Paused Motion Distance Ratio,Distance Ratio,no units
,,,,,,,
worm.locomotion.motion.backward.frames,time,Locomotion,0.5,0,Backward Time,Time,seconds
worm.locomotion.motion.backward.frames,distance,Locomotion,10,0,Backward Distance,Distance,microns
worm.locomotion.motion.backward.frames,interTime,Locomotion,5,0,Inter Backward Time,Inter Time,seconds
worm.locomotion.motion.backward.frames,interDistance,Locomotion,100,0,Inter Backward Distance,Inter Distance,microns
worm.locomotion.motion.backward.frequency,,Locomotion,0.001,0,Backward Motion Frequency,Frequency,Hz
worm.locomotion.motion.backward.ratio,time,Locomotion,0.001,0,Backward Motion Time Ratio,Time Ratio,no units
worm.locomotion.motion.backward.ratio,distance,Locomotion,0.001,0,Backward Motion Distance Ratio,Distance Ratio,no units
